Hail Contour Data
=================


0.75inch (threshold: 19mm)
----------------------------------------

Region 1
Points: 48
lat,lon
Region 13
Points: 28
lat,lon
34.3390,-83.8672
34.3390,-83.8606
34.3336,-83.8672
34.3336,-83.8606
34.3281,-83.8672
34.3281,-83.8606
34.3227,-83.8606
34.3281,-83.8540
34.3227,-83.8540
34.3227,-83.8474
34.3281,-83.8474
34.3281,-83.8408
34.3336,-83.8408
34.3336,-83.8342
34.3390,-83.8408
34.3390,-83.8342
34.3444,-83.8408
34.3498,-83.8408
34.3444,-83.8474
34.3498,-83.8474
34.3552,-83.8474
34.3552,-83.8540
34.3498,-83.8540
34.3552,-83.8606
34.3498,-83.8606
34.3498,-83.8672
34.3444,-83.8606
34.3444,-83.8672

Region 14
Points: 32
lat,lon
34.4094,-83.4512
34.4094,-83.4446
34.4040,-83.4512
34.4040,-83.4446
34.3986,-83.4446
34.3931,-83.4380
34.3986,-83.4380
34.3877,-83.4314
34.3931,-83.4314
34.3931,-83.4248
34.3986,-83.4248
34.3986,-83.4182
34.4040,-83.4248
34.4040,-83.4182
34.4094,-83.4248
34.4094,-83.4182
34.4148,-83.4248
34.4148,-83.4314
34.4202,-83.4314
34.4148,-83.4380
34.4202,-83.4380
34.4202,-83.4446
34.4256,-83.4512
34.4310,-83.4578
34.4148,-83.4446
34.4202,-83.4512
34.4256,-83.4578
34.4256,-83.4644
34.4202,-83.4578
34.4202,-83.4644
34.4148,-83.4512
34.4148,-83.4578

Region 15
Points: 70
lat,lon
34.4419,-81.3714
34.4419,-81.3648
34.4365,-81.3714
34.4365,-81.3648
34.4310,-81.3714
34.4310,-81.3648
34.4256,-81.3648
34.4256,-81.3582
34.4202,-81.3582
34.4256,-81.3516
34.4202,-81.3516
34.4202,-81.3450
34.4148,-81.3450
34.4094,-81.3384
34.4148,-81.3384
34.4040,-81.3318
34.4094,-81.3318
34.4040,-81.3252
34.4094,-81.3252
34.4040,-81.3186
34.4094,-81.3186
34.4148,-81.3186
34.4094,-81.3120
34.4148,-81.3120
34.4202,-81.3120
34.4202,-81.3054
34.4256,-81.3120
34.4256,-81.3054
34.4310,-81.3120
34.4310,-81.3054
34.4365,-81.3120
34.4365,-81.3054
34.4419,-81.3120
34.4419,-81.3054
34.4473,-81.3054
34.4473,-81.3120
34.4527,-81.3120
34.4527,-81.3186
34.4581,-81.3186
